customer_id,email,phone,ssn_last4
1000,customer0@example.com,555-0100,3702
1001,customer1@example.com,555-0101,7848
1002,customer2@example.com,555-0102,7849
1003,customer3@example.com,555-0103,5608
1004,customer4@example.com,555-0104,8849
1005,customer5@example.com,555-0105,4539
1006,customer6@example.com,555-0106,8776
1007,customer7@example.com,555-0107,9396
1008,customer8@example.com,555-0108,4007
1009,customer9@example.com,555-0109,9275
1010,customer10@example.com,555-0110,9643
1011,customer11@example.com,555-0111,4867
1012,customer12@example.com,555-0112,1052
1013,customer13@example.com,555-0113,1231
1014,customer14@example.com,555-0114,7079
1015,customer15@example.com,555-0115,8015
1016,customer16@example.com,555-0116,2134
1017,customer17@example.com,555-0117,3374
1018,customer18@example.com,555-0118,4805
1019,customer19@example.com,555-0119,4812
1020,customer20@example.com,555-0120,1693
1021,customer21@example.com,555-0121,8157
1022,customer22@example.com,555-0122,7664
1023,customer23@example.com,555-0123,8239
1024,customer24@example.com,555-0124,1558
1025,customer25@example.com,555-0125,6389
1026,customer26@example.com,555-0126,9849
1027,customer27@example.com,555-0127,9151
1028,customer28@example.com,555-0128,2897
1029,customer29@example.com,555-0129,7036
1030,customer30@example.com,555-0130,1380
1031,customer31@example.com,555-0131,3536
1032,customer32@example.com,555-0132,2449
1033,customer33@example.com,555-0133,3045
1034,customer34@example.com,555-0134,1320
1035,customer35@example.com,555-0135,8424
1036,customer36@example.com,555-0136,3639
1037,customer37@example.com,555-0137,6618
1038,customer38@example.com,555-0138,7575
1039,customer39@example.com,555-0139,8941
1040,customer40@example.com,555-0140,3475
1041,customer41@example.com,555-0141,4062
1042,customer42@example.com,555-0142,1608
1043,customer43@example.com,555-0143,8699
1044,customer44@example.com,555-0144,4848
1045,customer45@example.com,555-0145,2222
1046,customer46@example.com,555-0146,4233
1047,customer47@example.com,555-0147,4417
1048,customer48@example.com,555-0148,2162
1049,customer49@example.com,555-0149,3006
1050,customer50@example.com,555-0150,8804
1051,customer51@example.com,555-0151,7357
1052,customer52@example.com,555-0152,4294
1053,customer53@example.com,555-0153,6590
1054,customer54@example.com,555-0154,3394
1055,customer55@example.com,555-0155,9778
1056,customer56@example.com,555-0156,7710
1057,customer57@example.com,555-0157,5783
1058,customer58@example.com,555-0158,6983
1059,customer59@example.com,555-0159,8394
1060,customer60@example.com,555-0160,9215
1061,customer61@example.com,555-0161,7320
1062,customer62@example.com,555-0162,6209
1063,customer63@example.com,555-0163,8937
1064,customer64@example.com,555-0164,7333
1065,customer65@example.com,555-0165,5353
1066,customer66@example.com,555-0166,1439
1067,customer67@example.com,555-0167,2528
1068,customer68@example.com,555-0168,3604
1069,customer69@example.com,555-0169,9126
1070,customer70@example.com,555-0170,1046
1071,customer71@example.com,555-0171,9053
1072,customer72@example.com,555-0172,2148
1073,customer73@example.com,555-0173,9555
1074,customer74@example.com,555-0174,4637
1075,customer75@example.com,555-0175,6220
1076,customer76@example.com,555-0176,2846
1077,customer77@example.com,555-0177,3960
1078,customer78@example.com,555-0178,3786
1079,customer79@example.com,555-0179,6705
1080,customer80@example.com,555-0180,6445
1081,customer81@example.com,555-0181,6678
1082,customer82@example.com,555-0182,6023
1083,customer83@example.com,555-0183,5026
1084,customer84@example.com,555-0184,2692
1085,customer85@example.com,555-0185,3763
1086,customer86@example.com,555-0186,2075
1087,customer87@example.com,555-0187,3851
1088,customer88@example.com,555-0188,8024
1089,customer89@example.com,555-0189,7141
1090,customer90@example.com,555-0190,3619
1091,customer91@example.com,555-0191,1601
1092,customer92@example.com,555-0192,9514
1093,customer93@example.com,555-0193,4957
1094,customer94@example.com,555-0194,7668
1095,customer95@example.com,555-0195,3672
1096,customer96@example.com,555-0196,1233
1097,customer97@example.com,555-0197,6678
1098,customer98@example.com,555-0198,9043
1099,customer99@example.com,555-0199,9292
